name,date,sub,session,dtype,fname,status
Lilly,2025-03-20,3000134,s2_r1,psychopy,"sub-3000134_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000134_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000134_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000142,s2_r1,psychopy,"sub-3000142_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000142_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000142_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000143,s2_r1,psychopy,"sub-3000143_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000143_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000143_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000146,s2_r1,psychopy,"sub-3000146_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000146_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000146_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000148,s2_r1,psychopy,"sub-3000148_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000148_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000148_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000153,s2_r1,psychopy,"sub-3000153_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000153_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000153_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000155,s2_r1,psychopy,"sub-3000155_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000155_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000155_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000156,s2_r1,psychopy,"sub-3000156_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000156_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000156_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000157,s2_r1,psychopy,"sub-3000157_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000157_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000157_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000158,s2_r1,psychopy,"sub-3000158_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000158_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000158_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000163,s2_r1,psychopy,"sub-3000163_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000163_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000163_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000166,s2_r1,psychopy,"sub-3000166_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000166_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000166_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
Lilly,2025-03-20,3000169,s2_r1,psychopy,"sub-3000169_arrow-alert-v1-2_psychopy_s2_r1_e1.csv,sub-3000169_arrow-alert-v1-2_psychopy_s2_r1_e1.log,sub-3000169_arrow-alert-v1-2_psychopy_s2_r1_e1.psydat",PASSED
