name,date,sub,session,dtype,fname,status
Lilly,2025-09-12,3000084,s3_r1,psychopy,"sub-3000084_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000084_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000084_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000087,s3_r1,psychopy,"sub-3000087_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000087_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000087_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000099,s3_r1,psychopy,"sub-3000099_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000099_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000099_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000100,s3_r1,psychopy,"sub-3000100_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000100_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000100_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000102,s3_r1,psychopy,"sub-3000102_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000102_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000102_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000105,s3_r1,psychopy,"sub-3000105_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000105_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000105_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000110,s3_r1,psychopy,"sub-3000110_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000110_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000110_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000112,s3_r1,psychopy,"sub-3000112_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000112_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000112_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000113,s3_r1,psychopy,"sub-3000113_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000113_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000113_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000116,s3_r1,psychopy,"sub-3000116_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000116_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000116_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000118,s3_r1,psychopy,"sub-3000118_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000118_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000118_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
Lilly,2025-09-12,3000119,s3_r1,psychopy,"sub-3000119_arrow-alert-v1-2_psychopy_s3_r1_e1.csv,sub-3000119_arrow-alert-v1-2_psychopy_s3_r1_e1.log,sub-3000119_arrow-alert-v1-2_psychopy_s3_r1_e1.psydat",PASSED
