[2025-06-12 15:54:39,130]	(INFO)	Logging initialized at 2025-06-12_15-54 (run by llaplace)
[2025-06-12 15:55:05,132]	(DEBUG)	No changes to data dictionary
[2025-06-12 15:55:05,132]	(DEBUG)	Using standard exception file naming
[2025-06-12 15:55:05,132]	(DEBUG)	suppress_missing_pending_qa=True
[2025-06-12 15:55:38,724]	(DEBUG)	Devalidated 0 identifier(s)
[2025-06-12 15:55:39,475]	(INFO)	Starting checked data validation...
[2025-06-12 15:56:46,370]	(DEBUG)	Found 1926 present id(s), 1560 expected id(s), 24 missing id(s)
[2025-06-12 15:56:46,411]	(DEBUG)	"Missing" identifier sub-3000173_all_zoom_s2_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,429]	(INFO)	Problem for identifier sub-3000041_all_audacity_s3_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000041/s3_r1/audacity/, folder is not present)
[2025-06-12 15:56:46,433]	(INFO)	Problem for identifier sub-3000242_all_audacity_s1_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000242/s1_r1/audacity/, folder is not present)
[2025-06-12 15:56:46,434]	(DEBUG)	"Missing" identifier sub-3000282_all_audacity_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,435]	(DEBUG)	"Missing" identifier sub-3000141_all_audacity_s2_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,436]	(DEBUG)	"Missing" identifier sub-3000256_all_audacity_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,437]	(INFO)	Problem for identifier sub-3000146_all_zoom_s2_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000146/s2_r1/zoom/, folder is not present)
[2025-06-12 15:56:46,438]	(DEBUG)	"Missing" identifier sub-3000121_all_audacity_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,440]	(INFO)	Problem for identifier sub-3000013_all_eeg_s3_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000013/s3_r1/eeg/, folder is not present)
[2025-06-12 15:56:46,442]	(DEBUG)	"Missing" identifier sub-3000284_all_zoom_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,442]	(DEBUG)	"Missing" identifier sub-3000162_all_audacity_s2_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,443]	(DEBUG)	"Missing" identifier sub-3000286_all_zoom_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,444]	(DEBUG)	"Missing" identifier sub-3000178_all_zoom_s2_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,445]	(DEBUG)	"Missing" identifier sub-3000261_all_audacity_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,445]	(DEBUG)	"Missing" identifier sub-3000286_all_audacity_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,446]	(DEBUG)	"Missing" identifier sub-3000143_all_audacity_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,448]	(DEBUG)	"Missing" identifier sub-3000118_all_digi_s2_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,450]	(INFO)	Problem for identifier sub-3000054_all_zoom_s3_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/zoom/, folder is not present)
[2025-06-12 15:56:46,452]	(INFO)	Problem for identifier sub-3000177_all_digi_s1_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000177/s1_r1/digi/, folder is not present)
[2025-06-12 15:56:46,453]	(DEBUG)	"Missing" identifier sub-3000290_all_zoom_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,454]	(DEBUG)	"Missing" identifier sub-3000039_all_eeg_s3_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,455]	(DEBUG)	"Missing" identifier sub-3000306_all_digi_s1_r1_e1 found in pending-qa, no error
[2025-06-12 15:56:46,457]	(INFO)	Problem for identifier sub-3000054_all_digi_s3_r1_e1: Missing identifier - Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/digi/, folder is not present)
[2025-06-12 15:56:46,458]	(DEBUG)	"Missing" identifier sub-3000155_all_audacity_s2_r1_e1 found in pending-qa, no error
